epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5198,1.84497,3.39806,1.37997,0.35882,0.32624,0.30707,0.14107,1.66348,2.19715,1.24103,0.000220596,0.000220596,0.000220596
2,48.8149,1.64394,1.90666,1.25928,0.63636,0.74929,0.67043,0.34104,1.59072,1.24693,1.23325,0.000438545,0.000438545,0.000438545
3,72.2108,1.55151,1.58782,1.23246,0.75944,0.84014,0.80253,0.43885,1.49185,1.1241,1.1652,0.000652091,0.000652091,0.000652091
4,91.1475,1.51184,1.45374,1.22633,0.77383,0.87203,0.83686,0.45646,1.47056,1.07677,1.19298,0.00064719,0.00064719,0.00064719
5,110.982,1.48774,1.42133,1.21843,0.83569,0.88313,0.86183,0.48798,1.38141,1.01802,1.16061,0.000640587,0.000640587,0.000640587
6,129.706,1.45603,1.34292,1.2033,0.80752,0.90203,0.86008,0.48019,1.39333,1.02007,1.2009,0.000633983,0.000633983,0.000633983
7,156.458,1.44722,1.32484,1.20989,0.85415,0.89579,0.87023,0.47389,1.41547,0.98326,1.15892,0.00062738,0.00062738,0.00062738
8,184.416,1.41828,1.26452,1.19164,0.81711,0.88782,0.87918,0.49354,1.38635,1.00112,1.17673,0.000620777,0.000620777,0.000620777
9,209.381,1.40313,1.24599,1.18605,0.87201,0.89306,0.88868,0.50006,1.38872,0.94278,1.16334,0.000614174,0.000614174,0.000614174
10,229.324,1.40177,1.22243,1.19161,0.88424,0.90204,0.89419,0.51856,1.35911,0.92744,1.14868,0.00060757,0.00060757,0.00060757
11,248.016,1.3819,1.19828,1.1807,0.88054,0.89062,0.8917,0.52382,1.33703,0.94843,1.15382,0.000600967,0.000600967,0.000600967
12,267.857,1.39101,1.19921,1.18524,0.87766,0.9012,0.89917,0.51549,1.3509,0.89211,1.1738,0.000594364,0.000594364,0.000594364
13,286.45,1.36382,1.1679,1.18245,0.90177,0.91235,0.90294,0.52234,1.36493,0.87309,1.17114,0.00058776,0.00058776,0.00058776
14,306.331,1.36981,1.14358,1.17566,0.89047,0.89615,0.90111,0.52401,1.35055,0.86812,1.15533,0.000581157,0.000581157,0.000581157
15,325.147,1.37429,1.14362,1.17805,0.87741,0.89413,0.89617,0.5079,1.37909,0.9285,1.16974,0.000574554,0.000574554,0.000574554
16,345.119,1.35605,1.12216,1.17194,0.88925,0.9183,0.90166,0.52446,1.32843,0.87319,1.15379,0.00056795,0.00056795,0.00056795
17,363.955,1.3556,1.11113,1.17049,0.87707,0.89935,0.89721,0.51918,1.3311,0.88362,1.14053,0.000561347,0.000561347,0.000561347
18,383.779,1.35373,1.08959,1.17041,0.88051,0.90178,0.90591,0.51981,1.34448,0.89558,1.16302,0.000554744,0.000554744,0.000554744
19,402.496,1.34594,1.09492,1.16454,0.88434,0.90884,0.89085,0.51159,1.36951,0.8721,1.16663,0.000548141,0.000548141,0.000548141
20,422.384,1.35303,1.09689,1.17108,0.889,0.90694,0.91244,0.53304,1.35591,0.84673,1.16592,0.000541537,0.000541537,0.000541537
21,441.123,1.33998,1.08426,1.16988,0.89938,0.91323,0.91178,0.5181,1.37477,0.86788,1.16594,0.000534934,0.000534934,0.000534934
22,461.734,1.33051,1.06476,1.16755,0.89217,0.90231,0.89903,0.5144,1.36001,0.86165,1.17723,0.000528331,0.000528331,0.000528331
23,480.676,1.33333,1.04568,1.16817,0.91092,0.91853,0.92176,0.54124,1.33591,0.85555,1.15173,0.000521727,0.000521727,0.000521727
24,500.908,1.31784,1.03089,1.15875,0.90307,0.92442,0.9093,0.52958,1.35319,0.84824,1.17175,0.000515124,0.000515124,0.000515124
25,519.953,1.31887,1.04657,1.15773,0.89119,0.90906,0.90248,0.51167,1.34278,0.86371,1.16216,0.000508521,0.000508521,0.000508521
26,540.208,1.32137,1.0279,1.15745,0.8582,0.89731,0.90113,0.52805,1.34322,0.87538,1.15794,0.000501917,0.000501917,0.000501917
27,559.274,1.3247,1.0176,1.16499,0.89829,0.91346,0.91579,0.54162,1.32309,0.84409,1.14575,0.000495314,0.000495314,0.000495314
28,579.296,1.30541,1.01768,1.15131,0.89609,0.92608,0.91023,0.5428,1.32427,0.81893,1.15352,0.000488711,0.000488711,0.000488711
29,598.516,1.31437,1.02413,1.15634,0.86239,0.92139,0.90316,0.53132,1.32804,0.83671,1.16323,0.000482108,0.000482108,0.000482108
30,618.809,1.31438,1.0183,1.15623,0.88987,0.91262,0.91198,0.52886,1.32555,0.84525,1.14502,0.000475504,0.000475504,0.000475504
31,637.914,1.29886,1.01673,1.15752,0.87592,0.91229,0.90457,0.53634,1.33318,0.83215,1.16624,0.000468901,0.000468901,0.000468901
32,658.137,1.30011,0.98855,1.15411,0.89721,0.92584,0.9078,0.52222,1.40375,0.80289,1.17275,0.000462298,0.000462298,0.000462298
33,677.254,1.30148,1.00442,1.15219,0.88752,0.92159,0.91071,0.53324,1.33237,0.81651,1.15531,0.000455694,0.000455694,0.000455694
34,697.512,1.30154,0.99075,1.15243,0.89397,0.9176,0.90988,0.54283,1.32814,0.81758,1.15566,0.000449091,0.000449091,0.000449091
35,716.656,1.29225,0.98195,1.15219,0.88202,0.91121,0.90181,0.50859,1.37631,0.82886,1.18019,0.000442488,0.000442488,0.000442488
36,736.935,1.2855,0.97336,1.14376,0.89495,0.91625,0.9043,0.53597,1.34898,0.80288,1.15247,0.000435884,0.000435884,0.000435884
37,755.93,1.28668,0.96154,1.15239,0.90107,0.90581,0.90182,0.52438,1.38024,0.81567,1.17917,0.000429281,0.000429281,0.000429281
38,776.256,1.28959,0.94552,1.14686,0.90691,0.91715,0.91344,0.54875,1.35221,0.78586,1.16117,0.000422678,0.000422678,0.000422678
39,795.448,1.29227,0.96017,1.14701,0.90449,0.92572,0.90833,0.54569,1.32041,0.7842,1.14806,0.000416075,0.000416075,0.000416075
40,815.72,1.27826,0.95342,1.14865,0.8893,0.90967,0.90892,0.55396,1.30409,0.7942,1.14641,0.000409471,0.000409471,0.000409471
41,834.946,1.28623,0.95987,1.14248,0.89494,0.91933,0.90432,0.54175,1.33557,0.80441,1.16941,0.000402868,0.000402868,0.000402868
42,855.128,1.27589,0.94061,1.14519,0.89915,0.92104,0.90938,0.54468,1.31112,0.81521,1.14398,0.000396265,0.000396265,0.000396265
43,874.053,1.27257,0.94768,1.13798,0.89925,0.92855,0.91113,0.53635,1.335,0.78936,1.1588,0.000389661,0.000389661,0.000389661
44,894.31,1.27739,0.94909,1.14223,0.88436,0.91881,0.90411,0.52813,1.3389,0.78892,1.15042,0.000383058,0.000383058,0.000383058
45,913.21,1.28383,0.92655,1.14568,0.88311,0.90675,0.89952,0.53977,1.32419,0.80272,1.15512,0.000376455,0.000376455,0.000376455
46,933.516,1.26812,0.93034,1.14015,0.89649,0.9176,0.90533,0.51105,1.40198,0.8068,1.17931,0.000369851,0.000369851,0.000369851
47,952.872,1.26464,0.91889,1.1363,0.894,0.91599,0.91353,0.55623,1.33429,0.76512,1.15525,0.000363248,0.000363248,0.000363248
