epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5034,1.95585,3.68548,1.3506,0.32495,0.26068,0.19576,0.09944,1.64703,2.472,1.11687,0.000220596,0.000220596,0.000220596
2,36.5325,1.71989,2.13988,1.17359,0.54402,0.59185,0.53953,0.27911,1.53959,1.4736,1.10707,0.00043416,0.00043416,0.00043416
3,53.5367,1.61613,1.64669,1.15205,0.65089,0.68896,0.67777,0.3672,1.46705,1.24914,1.08719,0.000638919,0.000638919,0.000638919
4,72.1775,1.54774,1.48255,1.13773,0.72359,0.7768,0.77677,0.42646,1.4448,1.13235,1.07846,0.00062738,0.00062738,0.00062738
5,95.4417,1.53591,1.40923,1.1365,0.78393,0.82729,0.8194,0.45576,1.40107,1.00827,1.06877,0.000614174,0.000614174,0.000614174
6,112.261,1.50136,1.33614,1.12393,0.785,0.86414,0.83263,0.44841,1.46064,1.02122,1.10133,0.000600967,0.000600967,0.000600967
7,138.09,1.48964,1.30631,1.12267,0.84188,0.86641,0.85458,0.47708,1.38028,0.94664,1.06674,0.00058776,0.00058776,0.00058776
8,155.144,1.45619,1.25631,1.10748,0.79959,0.88236,0.85556,0.46447,1.4133,0.98359,1.07226,0.000574554,0.000574554,0.000574554
9,179.402,1.44498,1.22146,1.10716,0.83264,0.89377,0.87109,0.47635,1.39686,0.93369,1.07789,0.000561347,0.000561347,0.000561347
10,196.094,1.44414,1.19582,1.10436,0.88982,0.89153,0.89656,0.5093,1.37119,0.87603,1.06643,0.000548141,0.000548141,0.000548141
11,213.902,1.42689,1.18066,1.09521,0.84203,0.84978,0.86015,0.45791,1.41291,0.93588,1.07983,0.000534934,0.000534934,0.000534934
12,230.62,1.40866,1.17445,1.0935,0.88322,0.89053,0.90641,0.51049,1.37719,0.8884,1.06754,0.000521727,0.000521727,0.000521727
13,247.284,1.39055,1.13207,1.09338,0.88348,0.89399,0.89358,0.5103,1.38814,0.83916,1.07041,0.000508521,0.000508521,0.000508521
14,268.328,1.40128,1.11239,1.0923,0.89075,0.90032,0.90675,0.50606,1.36394,0.84466,1.05397,0.000495314,0.000495314,0.000495314
15,293.487,1.39938,1.12445,1.08985,0.87457,0.87284,0.88076,0.49494,1.33315,0.8774,1.05891,0.000482108,0.000482108,0.000482108
16,313.471,1.37989,1.09131,1.08321,0.87675,0.89924,0.89361,0.50687,1.3592,0.80562,1.0645,0.000468901,0.000468901,0.000468901
17,331.322,1.38336,1.07359,1.08472,0.88114,0.8981,0.8979,0.5159,1.33563,0.82281,1.05345,0.000455694,0.000455694,0.000455694
