epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3789,5.29581,4.61029,3.95029,0.00056,0.03472,0.00099,0.00021,4.4985,3.62166,3.47782,0.000220596,0.000220596,0.000220596
2,71.9509,3.46414,3.43953,2.91989,0.19405,0.30915,0.02072,0.00594,3.17277,2.74619,2.29903,0.00043416,0.00043416,0.00043416
3,88.5832,2.83059,2.75848,2.20448,0.10124,0.71385,0.03122,0.01081,2.49127,2.55718,1.86854,0.000638919,0.000638919,0.000638919
4,108.72,2.50349,2.54912,1.94332,0.83372,0.07457,0.07704,0.034,2.20507,2.35416,1.68607,0.00062738,0.00062738,0.00062738
5,125.518,2.27627,2.38953,1.76722,0.30039,0.16033,0.16517,0.07896,2.02443,2.10677,1.54482,0.000614174,0.000614174,0.000614174
6,144.607,2.1372,2.19192,1.65543,0.5342,0.1705,0.25311,0.11918,1.88694,2.00181,1.46715,0.000600967,0.000600967,0.000600967
7,162.384,2.03065,2.02029,1.58781,0.41358,0.45767,0.33655,0.13587,1.98632,1.65275,1.47059,0.00058776,0.00058776,0.00058776
8,179.21,1.94314,1.87491,1.5136,0.49563,0.58841,0.42974,0.20778,1.66148,1.57196,1.33882,0.000574554,0.000574554,0.000574554
9,201.413,1.89512,1.77423,1.4807,0.52809,0.57581,0.46346,0.19894,1.83112,1.42264,1.40593,0.000561347,0.000561347,0.000561347
10,224.103,1.86317,1.68332,1.44878,0.54076,0.57095,0.55377,0.28991,1.56374,1.25038,1.27601,0.000548141,0.000548141,0.000548141
11,241.566,1.78733,1.61678,1.40634,0.56448,0.63789,0.60041,0.30502,1.55294,1.20223,1.27084,0.000534934,0.000534934,0.000534934
12,261.444,1.74521,1.55633,1.37772,0.57608,0.66538,0.61225,0.30848,1.56691,1.1692,1.25854,0.000521727,0.000521727,0.000521727
13,279.157,1.72638,1.51357,1.37367,0.64945,0.68865,0.65885,0.35361,1.5001,1.10521,1.22562,0.000508521,0.000508521,0.000508521
14,295.82,1.70552,1.47733,1.35695,0.69543,0.7145,0.69432,0.37998,1.48047,1.10105,1.22554,0.000495314,0.000495314,0.000495314
15,312.535,1.68867,1.45513,1.33921,0.74173,0.69575,0.69625,0.34902,1.58677,1.07796,1.26091,0.000482108,0.000482108,0.000482108
16,332.696,1.65776,1.42755,1.32858,0.7312,0.73394,0.7089,0.35686,1.55573,1.01133,1.23341,0.000468901,0.000468901,0.000468901
17,349.237,1.65132,1.40532,1.321,0.69845,0.72092,0.70343,0.38427,1.46903,1.04866,1.19446,0.000455694,0.000455694,0.000455694
